"SampleID","EndpointCategory","EndpointName","EndpointValue","EndpointValue Unit Ontology","EndpointValue Unit Ontology Entry","WellQ"
"waid14700acid101","Apo Necro (casp37)","Caspase 3/7 intensity",119.282629637078,"","",1
"waid14794acid101","Apo Necro (casp37)","Caspase 3/7 intensity",99.1360334646106,"","",1
"waid14795acid101","Apo Necro (casp37)","Caspase 3/7 intensity",88.5970180849024,"","",1
"waid14796acid101","Apo Necro (casp37)","Caspase 3/7 intensity",77.3182526503914,"","",1
"waid14890acid101","Apo Necro (casp37)","Caspase 3/7 intensity",117.528590471289,"","",1
"waid14891acid101","Apo Necro (casp37)","Caspase 3/7 intensity",110.196796903926,"","",1
"waid14892acid101","Apo Necro (casp37)","Caspase 3/7 intensity",110.089953855145,"","",1
"waid14986acid101","Apo Necro (casp37)","Caspase 3/7 intensity",130.489694216512,"","",1
"waid14987acid101","Apo Necro (casp37)","Caspase 3/7 intensity",124.21659232241,"","",1
"waid14988acid101","Apo Necro (casp37)","Caspase 3/7 intensity",135.916963925329,"","",1
"waid14506acid101","Apo Necro (casp37)","Caspase 3/7 intensity",86.958901727636,"","",1
"waid14507acid101","Apo Necro (casp37)","Caspase 3/7 intensity",123.33565231105,"","",1
"waid14508acid101","Apo Necro (casp37)","Caspase 3/7 intensity",121.035887887659,"","",1
"waid14659acid101","Apo Necro (casp37)","Caspase 3/7 intensity",170.13848982117,"","",1
"waid14660acid101","Apo Necro (casp37)","Caspase 3/7 intensity",110.079922515868,"","",1
"waid14661acid101","Apo Necro (casp37)","Caspase 3/7 intensity",118.396184216701,"","",1
"waid14662acid101","Apo Necro (casp37)","Caspase 3/7 intensity",139.942372426965,"","",1
"waid14663acid101","Apo Necro (casp37)","Caspase 3/7 intensity",141.925343118027,"","",1
"waid14664acid101","Apo Necro (casp37)","Caspase 3/7 intensity",149.735004940431,"","",1
"waid14665acid101","Apo Necro (casp37)","Caspase 3/7 intensity",157.421694525462,"","",1
"waid14666acid101","Apo Necro (casp37)","Caspase 3/7 intensity",134.419987465385,"","",1
"waid14667acid101","Apo Necro (casp37)","Caspase 3/7 intensity",101.298412499254,"","",1
"waid14668acid101","Apo Necro (casp37)","Caspase 3/7 intensity",150.406413719581,"","",1
"waid14669acid101","Apo Necro (casp37)","Caspase 3/7 intensity",191.726369046144,"","",1
"waid14670acid101","Apo Necro (casp37)","Caspase 3/7 intensity",201.147783140769,"","",1
"waid14671acid101","Apo Necro (casp37)","Caspase 3/7 intensity",149.004680007251,"","",1
"waid14672acid101","Apo Necro (casp37)","Caspase 3/7 intensity",100.878324699524,"","",1
"waid14673acid101","Apo Necro (casp37)","Caspase 3/7 intensity",116.215373807271,"","",1
"waid14674acid101","Apo Necro (casp37)","Caspase 3/7 intensity",172.822438132712,"","",1
"waid14675acid101","Apo Necro (casp37)","Caspase 3/7 intensity",175.323223984813,"","",1
"waid14676acid101","Apo Necro (casp37)","Caspase 3/7 intensity",182.429307817108,"","",1
"waid15060acid101","Apo Necro (casp37)","Caspase 3/7 intensity",438.942533785242,"","",1
"waid15043acid101","Apo Necro (casp37)","Caspase 3/7 intensity",181.867662250908,"","",1
"waid15044acid101","Apo Necro (casp37)","Caspase 3/7 intensity",107.639406466302,"","",1
"waid15045acid101","Apo Necro (casp37)","Caspase 3/7 intensity",138.712126358846,"","",1
"waid15046acid101","Apo Necro (casp37)","Caspase 3/7 intensity",184.337747536634,"","",1
"waid15047acid101","Apo Necro (casp37)","Caspase 3/7 intensity",181.769351551236,"","",1
"waid15048acid101","Apo Necro (casp37)","Caspase 3/7 intensity",379.708123709116,"","",1
"waid15049acid101","Apo Necro (casp37)","Caspase 3/7 intensity",137.836330673601,"","",1
"waid15050acid101","Apo Necro (casp37)","Caspase 3/7 intensity",89.3581186820541,"","",1
"waid15051acid101","Apo Necro (casp37)","Caspase 3/7 intensity",111.675049163493,"","",1
"waid15052acid101","Apo Necro (casp37)","Caspase 3/7 intensity",148.347763164324,"","",1
"waid15053acid101","Apo Necro (casp37)","Caspase 3/7 intensity",181.193796061424,"","",1
"waid15054acid101","Apo Necro (casp37)","Caspase 3/7 intensity",332.164526689957,"","",1
"waid15055acid101","Apo Necro (casp37)","Caspase 3/7 intensity",136.080168229195,"","",1
"waid15056acid101","Apo Necro (casp37)","Caspase 3/7 intensity",114.169489682642,"","",1
"waid15057acid101","Apo Necro (casp37)","Caspase 3/7 intensity",148.517153145833,"","",1
"waid15058acid101","Apo Necro (casp37)","Caspase 3/7 intensity",151.611526782602,"","",1
"waid15059acid101","Apo Necro (casp37)","Caspase 3/7 intensity",157.357249330734,"","",1
"waid14563acid101","Apo Necro (casp37)","Caspase 3/7 intensity",260.712346842646,"","",1
"waid14564acid101","Apo Necro (casp37)","Caspase 3/7 intensity",290.49169906793,"","",1
"waid14565acid101","Apo Necro (casp37)","Caspase 3/7 intensity",162.223442487482,"","",1
"waid14566acid101","Apo Necro (casp37)","Caspase 3/7 intensity",154.56035072529,"","",1
"waid14567acid101","Apo Necro (casp37)","Caspase 3/7 intensity",128.472120607354,"","",1
"waid14568acid101","Apo Necro (casp37)","Caspase 3/7 intensity",132.492960222952,"","",1
"waid14569acid101","Apo Necro (casp37)","Caspase 3/7 intensity",260.0041651086,"","",1
"waid14570acid101","Apo Necro (casp37)","Caspase 3/7 intensity",293.155090095517,"","",1
"waid14571acid101","Apo Necro (casp37)","Caspase 3/7 intensity",170.720898638783,"","",1
"waid14572acid101","Apo Necro (casp37)","Caspase 3/7 intensity",114.315292367674,"","",1
"waid14573acid101","Apo Necro (casp37)","Caspase 3/7 intensity",73.5971523249757,"","",1
"waid14574acid101","Apo Necro (casp37)","Caspase 3/7 intensity",174.024620491084,"","",1
"waid14575acid101","Apo Necro (casp37)","Caspase 3/7 intensity",223.220316550376,"","",1
"waid14576acid101","Apo Necro (casp37)","Caspase 3/7 intensity",270.69209759147,"","",1
"waid14577acid101","Apo Necro (casp37)","Caspase 3/7 intensity",170.105387537812,"","",1
"waid14578acid101","Apo Necro (casp37)","Caspase 3/7 intensity",144.171452854889,"","",1
"waid14579acid101","Apo Necro (casp37)","Caspase 3/7 intensity",122.457526991272,"","",1
"waid14580acid101","Apo Necro (casp37)","Caspase 3/7 intensity",137.180665182163,"","",1
"waid14737acid101","Apo Necro (casp37)","Caspase 3/7 intensity",163.936559604358,"","",1
"waid14738acid101","Apo Necro (casp37)","Caspase 3/7 intensity",57.6873966256456,"","",1
"waid14739acid101","Apo Necro (casp37)","Caspase 3/7 intensity",72.1673050684167,"","",1
"waid14740acid101","Apo Necro (casp37)","Caspase 3/7 intensity",70.6108902089526,"","",1
"waid14741acid101","Apo Necro (casp37)","Caspase 3/7 intensity",84.3222857606616,"","",1
"waid14742acid101","Apo Necro (casp37)","Caspase 3/7 intensity",80.5206488949329,"","",1
"waid14743acid101","Apo Necro (casp37)","Caspase 3/7 intensity",192.81524995994,"","",1
"waid14744acid101","Apo Necro (casp37)","Caspase 3/7 intensity",78.1406205854002,"","",1
"waid14745acid101","Apo Necro (casp37)","Caspase 3/7 intensity",69.7256870546974,"","",1
"waid14746acid101","Apo Necro (casp37)","Caspase 3/7 intensity",77.968676909342,"","",1
"waid14747acid101","Apo Necro (casp37)","Caspase 3/7 intensity",88.2654709589388,"","",1
"waid14748acid101","Apo Necro (casp37)","Caspase 3/7 intensity",89.0570847643696,"","",1
"waid14749acid101","Apo Necro (casp37)","Caspase 3/7 intensity",176.785035991334,"","",1
"waid14750acid101","Apo Necro (casp37)","Caspase 3/7 intensity",79.8603360177126,"","",1
"waid14751acid101","Apo Necro (casp37)","Caspase 3/7 intensity",84.4231479666059,"","",1
"waid14752acid101","Apo Necro (casp37)","Caspase 3/7 intensity",84.7793557380792,"","",1
"waid14753acid101","Apo Necro (casp37)","Caspase 3/7 intensity",92.9348439851034,"","",1
"waid14754acid101","Apo Necro (casp37)","Caspase 3/7 intensity",80.3679255920126,"","",1
"waid14833acid101","Apo Necro (casp37)","Caspase 3/7 intensity",47.6650524394328,"","",1
"waid14834acid101","Apo Necro (casp37)","Caspase 3/7 intensity",53.057327646908,"","",1
"waid14835acid101","Apo Necro (casp37)","Caspase 3/7 intensity",58.1165226096451,"","",1
"waid14836acid101","Apo Necro (casp37)","Caspase 3/7 intensity",63.9637871027566,"","",1
"waid14837acid101","Apo Necro (casp37)","Caspase 3/7 intensity",81.7292003279449,"","",1
"waid14838acid101","Apo Necro (casp37)","Caspase 3/7 intensity",80.3665534363923,"","",1
"waid14839acid101","Apo Necro (casp37)","Caspase 3/7 intensity",54.9989209026088,"","",1
"waid14840acid101","Apo Necro (casp37)","Caspase 3/7 intensity",58.1127187718909,"","",1
"waid14841acid101","Apo Necro (casp37)","Caspase 3/7 intensity",57.3554365994032,"","",1
"waid14842acid101","Apo Necro (casp37)","Caspase 3/7 intensity",75.9032520171743,"","",1
"waid14843acid101","Apo Necro (casp37)","Caspase 3/7 intensity",78.3477058088125,"","",1
"waid14844acid101","Apo Necro (casp37)","Caspase 3/7 intensity",73.0853880746488,"","",1
"waid14845acid101","Apo Necro (casp37)","Caspase 3/7 intensity",55.8465363431984,"","",1
"waid14846acid101","Apo Necro (casp37)","Caspase 3/7 intensity",61.0757326705193,"","",1
"waid14847acid101","Apo Necro (casp37)","Caspase 3/7 intensity",64.6494930527586,"","",1
"waid14848acid101","Apo Necro (casp37)","Caspase 3/7 intensity",77.3354751439363,"","",1
"waid14849acid101","Apo Necro (casp37)","Caspase 3/7 intensity",82.3566858087039,"","",1
"waid14850acid101","Apo Necro (casp37)","Caspase 3/7 intensity",79.5721389542752,"","",1
"waid14929acid101","Apo Necro (casp37)","Caspase 3/7 intensity",54.5789059699411,"","",1
"waid14930acid101","Apo Necro (casp37)","Caspase 3/7 intensity",46.7933521137822,"","",1
"waid14931acid101","Apo Necro (casp37)","Caspase 3/7 intensity",52.3407199043397,"","",1
"waid14932acid101","Apo Necro (casp37)","Caspase 3/7 intensity",61.6284727927387,"","",1
"waid14933acid101","Apo Necro (casp37)","Caspase 3/7 intensity",73.802721564165,"","",1
"waid14934acid101","Apo Necro (casp37)","Caspase 3/7 intensity",75.8571596748105,"","",1
"waid14935acid101","Apo Necro (casp37)","Caspase 3/7 intensity",49.2238842872448,"","",1
"waid14936acid101","Apo Necro (casp37)","Caspase 3/7 intensity",41.8572197842686,"","",1
"waid14937acid101","Apo Necro (casp37)","Caspase 3/7 intensity",56.0661084889174,"","",1
"waid14938acid101","Apo Necro (casp37)","Caspase 3/7 intensity",48.5756004822292,"","",1
"waid14939acid101","Apo Necro (casp37)","Caspase 3/7 intensity",69.3982452266536,"","",1
"waid14940acid101","Apo Necro (casp37)","Caspase 3/7 intensity",84.2155507205845,"","",1
"waid14942acid101","Apo Necro (casp37)","Caspase 3/7 intensity",48.225364200953,"","",1
"waid14943acid101","Apo Necro (casp37)","Caspase 3/7 intensity",69.4554975699521,"","",1
"waid14944acid101","Apo Necro (casp37)","Caspase 3/7 intensity",78.7054815033782,"","",1
"waid14945acid101","Apo Necro (casp37)","Caspase 3/7 intensity",75.4234665442434,"","",1
"waid14946acid101","Apo Necro (casp37)","Caspase 3/7 intensity",67.4612075207648,"","",1
"waid14677acid101","Apo Necro (casp37)","Caspase 3/7 intensity",129.29636438346,"","",1
"waid14686acid101","Apo Necro (casp37)","Caspase 3/7 intensity",162.508066883062,"","",1
"waid14687acid101","Apo Necro (casp37)","Caspase 3/7 intensity",96.2791855187831,"","",1
"waid14688acid101","Apo Necro (casp37)","Caspase 3/7 intensity",142.798005017501,"","",1
"waid14678acid101","Apo Necro (casp37)","Caspase 3/7 intensity",130.641497830204,"","",1
"waid14679acid101","Apo Necro (casp37)","Caspase 3/7 intensity",217.594762073802,"","",1
"waid14680acid101","Apo Necro (casp37)","Caspase 3/7 intensity",207.622704249978,"","",1
"waid14681acid101","Apo Necro (casp37)","Caspase 3/7 intensity",206.896191338312,"","",1
"waid14682acid101","Apo Necro (casp37)","Caspase 3/7 intensity",196.789880328855,"","",1
"waid14683acid101","Apo Necro (casp37)","Caspase 3/7 intensity",168.780911075579,"","",1
"waid14684acid101","Apo Necro (casp37)","Caspase 3/7 intensity",201.096276732769,"","",1
"waid14685acid101","Apo Necro (casp37)","Caspase 3/7 intensity",167.873270599173,"","",1
"waid14760acid101","Apo Necro (casp37)","Caspase 3/7 intensity",101.522108960058,"","",1
"waid14757acid101","Apo Necro (casp37)","Caspase 3/7 intensity",117.224636159979,"","",1
"waid14758acid101","Apo Necro (casp37)","Caspase 3/7 intensity",87.508814508208,"","",1
"waid14759acid101","Apo Necro (casp37)","Caspase 3/7 intensity",125.44349161722,"","",1
"waid14761acid101","Apo Necro (casp37)","Caspase 3/7 intensity",82.3310684880887,"","",1
"waid14762acid101","Apo Necro (casp37)","Caspase 3/7 intensity",109.716512987175,"","",1
"waid14763acid101","Apo Necro (casp37)","Caspase 3/7 intensity",112.871366347207,"","",1
"waid14764acid101","Apo Necro (casp37)","Caspase 3/7 intensity",115.510035947334,"","",1
"waid14765acid101","Apo Necro (casp37)","Caspase 3/7 intensity",77.332216688462,"","",1
"waid14766acid101","Apo Necro (casp37)","Caspase 3/7 intensity",92.3768045415957,"","",1
"waid14755acid101","Apo Necro (casp37)","Caspase 3/7 intensity",115.594898113599,"","",1
"waid14756acid101","Apo Necro (casp37)","Caspase 3/7 intensity",122.057031580638,"","",1
"waid14851acid101","Apo Necro (casp37)","Caspase 3/7 intensity",81.2579476611447,"","",1
"waid14860acid101","Apo Necro (casp37)","Caspase 3/7 intensity",99.9801245180242,"","",1
"waid14861acid101","Apo Necro (casp37)","Caspase 3/7 intensity",95.2582047349331,"","",1
"waid14862acid101","Apo Necro (casp37)","Caspase 3/7 intensity",73.9830325703643,"","",1
"waid14852acid101","Apo Necro (casp37)","Caspase 3/7 intensity",85.4672031566285,"","",1
"waid14853acid101","Apo Necro (casp37)","Caspase 3/7 intensity",111.773465672343,"","",1
"waid14854acid101","Apo Necro (casp37)","Caspase 3/7 intensity",109.450698463133,"","",1
"waid14855acid101","Apo Necro (casp37)","Caspase 3/7 intensity",99.5177226122093,"","",1
"waid14856acid101","Apo Necro (casp37)","Caspase 3/7 intensity",86.2227177507598,"","",1
"waid14857acid101","Apo Necro (casp37)","Caspase 3/7 intensity",106.691534491734,"","",1
"waid14858acid101","Apo Necro (casp37)","Caspase 3/7 intensity",116.595612489676,"","",1
"waid14859acid101","Apo Necro (casp37)","Caspase 3/7 intensity",109.955684286503,"","",1
"waid14953acid101","Apo Necro (casp37)","Caspase 3/7 intensity",118.621949294966,"","",1
"waid14950acid101","Apo Necro (casp37)","Caspase 3/7 intensity",140.616488694694,"","",1
"waid14951acid101","Apo Necro (casp37)","Caspase 3/7 intensity",154.16421690698,"","",1
